CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Premise,Total Incidents
2/8/2020,2:18:00,5D,1700 CLIFTVIEW AVE,BURGLARY,Inside,NA,312,EASTERN,DARLEY PARK,-76.59387,39.31534087,GROCERY/CONFECTION,1
2/8/2020,6:00:00,6G,700 N STREEPER ST,LARCENY,Inside,NA,333,EASTERN,MADISON EASTEND,-76.5774249,39.29909374,ROW/TOWNHOUSE-OCC,1
2/8/2020,9:50:00,3JF,1400 N BROADWAY,ROBBERY - RESIDENCE,Inside,FIREARM,314,EASTERN,OLIVER,-76.59499176,39.30694103,ROW/TOWNHOUSE-OCC,1
2/8/2020,9:50:00,3JF,1400 N BROADWAY,ROBBERY - RESIDENCE,Inside,FIREARM,314,EASTERN,OLIVER,-76.59499176,39.30694103,ROW/TOWNHOUSE-OCC,1
2/8/2020,17:30:00,5A,1600 E OLIVER ST,BURGLARY,Inside,NA,314,EASTERN,OLIVER,-76.59594598,39.30735008,ROW/TOWNHOUSE-OCC,1
2/8/2020,19:00:00,5A,1400 AISQUITH ST,BURGLARY,Inside,NA,,EASTERN,,,,ROW/TOWNHOUSE-OCC,1
2/8/2020,10:45:00,7A,2200 N ELLAMONT ST,AUTO THEFT,Outside,NA,811,SOUTHWEST,,-76.67106806,39.31226105,STREET,1
2/8/2020,2:00:00,6E,3500 PELHAM AVE,LARCENY,Outside,NA,432,NORTHEAST,BELAIR-EDISON,-76.5653175,39.32076726,STREET,1
2/8/2020,18:45:00,3CF,2700 W COLD SPRING LN,ROBBERY - COMMERCIAL,Inside,FIREARM,614,NORTHWEST,CENTRAL PARK HEIGHTS,-76.66662539,39.33961631,CONVENIENCE STORE,1
2/8/2020,18:45:00,3CF,2700 W COLD SPRING LN,ROBBERY - COMMERCIAL,Inside,FIREARM,614,NORTHWEST,CENTRAL PARK HEIGHTS,-76.66662539,39.33961631,CONVENIENCE STORE,1
2/8/2020,4:25:00,3AF,2400 N CALVERT ST,ROBBERY - STREET,Inside,FIREARM,514,NORTHERN,BARCLAY,-76.61411977,39.31718482,APT/CONDO - OCCUPIED,1
2/8/2020,10:30:00,6G,6600 REISTERSTOWN RD,LARCENY,Inside,NA,631,NORTHWEST,REISTERSTOWN STATION,-76.70433407,39.35746611,DEPARTMENT STORE,1
2/8/2020,22:36:00,6J,400 BONSAL ST,LARCENY,Outside,NA,232,SOUTHEAST,ARLINGTON,-76.54576541,39.28866758,STREET,1
2/8/2020,18:03:00,4E,1600 PLUM ST,COMMON ASSAULT,Outside,NA,911,SOUTHERN,CURTIS BAY,-76.58822028,39.22844909,OTHER - OUTSIDE,1
2/8/2020,20:40:00,6J,0 E REDWOOD ST,LARCENY,Inside,NA,114,CENTRAL,DOWNTOWN,-76.61501365,39.28872415,RESTAURANT,1
2/8/2020,10:00:00,6B,2600 E FAYETTE ST,LARCENY,Outside,NA,221,SOUTHEAST,,-76.58053991,39.29454656,STREET,1
2/8/2020,11:00:00,6G,2000 DENISON ST,LARCENY,Inside,NA,812,SOUTHWEST,MOUNT HOLLY,-76.67424289,39.3101355,OTHER - INSIDE,1
2/8/2020,20:24:00,3AF,2500 BARCLAY ST,ROBBERY - STREET,Outside,FIREARM,513,NORTHERN,HARWOOD,-76.61115789,39.31811439,STREET,1
2/8/2020,0:00:00,7A,3700 Flowerton Rd,AUTO THEFT,Outside,NA,815,SOUTHWEST,EDMONDSON VILLAGE,-76.6789931,39.29862574,STREET,1
2/8/2020,1:26:00,9S,0 S CAREY ST,SHOOTING,Outside,FIREARM,931,SOUTHERN,HOLLINS PARK,-76.63818824,39.28823991,STREET,1
2/8/2020,19:29:00,9S,5100 ARBUTUS AV,SHOOTING,Outside,FIREARM,613,NORTHWEST,,-76.68098991,39.34294481,ALLEY,1
2/8/2020,15:19:00,9S,100 N PULASKI ST,SHOOTING,Outside,FIREARM,714,WESTERN,PENROSE/FAYETTE ST OUTREACH,-76.65020696,39.28941974,STREET,1
2/8/2020,19:43:00,9S,1600 WESTWOOD AV,SHOOTING,Outside,FIREARM,734,WESTERN,SANDTOWN-WINCHESTER,-76.64365747,39.30950548,ALLEY,1
2/8/2020,21:45:00,9S,2700 COLD SPRING LN,SHOOTING,Outside,FIREARM,614,NORTHWEST,CENTRAL PARK HEIGHTS,-76.66719065,39.33917326,STREET,1
2/8/2020,19:43:00,9S,1600 WESTWOOD AV,SHOOTING,Outside,FIREARM,734,WESTERN,SANDTOWN-WINCHESTER,-76.64365747,39.30950548,ALLEY,1
2/8/2020,23:30:15,9S,1700 W NORTH AV,SHOOTING,Outside,FIREARM,733,WESTERN,PENN NORTH,-76.64506572,39.31001994,STREET,1
2/8/2020,18:30:00,7A,4200 BONNER RD,AUTO THEFT,Outside,NA,624,NORTHWEST,WEST FOREST PARK,-76.68745404,39.32174908,STREET,1
